NV-1233,Lê Văn Độ,Nam,123,0982009465,123,dolevan055@gmail.com,Giám sát,Đại học,9999999.0
NV-0002,kaka,Nam,123,0123123123,123,123@g.com,Lễ tân,Đại học,3213.0
NV-0001,haha,Nữ,123,0456456456,ád,2@g.com,Giám sát,Sau đại học,123123.0
NV-0003,độ thồn,Nam,12331,0987231256,1011,do@gmail.com,Quản lýQuản lý,Sau đại học,1230.0
NV-1234,Lê Nin,Nam,123123123,0768687867,10/11/2002,nin@gmail.com,Giám đốc,Đại học,564.0
NV-1237,Lê Văn Độ,Nam,123123123,0123123312,123,123@123.com,Phục vụ,Trung cấp,123.0
NV-1239,Ka,Nam,123123123,0567567567,123,567@gmail.com,Lễ tân,Trung cấp,3.0
NV-9872,Lê Văn Thanh,Nam,123123123,0123123123,10/11/20002,123@g.com,Lễ tân,Cao đẳng,1.0
NV-1238,Vawn,Nam,123123123,0123123123,10/11/2002,12355@g.com,Lễ tân,Trung cấp,123.0
NV-1195,Độ,Nam,132312312,0123312312,10/11/2002,0132@g.com,Lễ tân,Trung cấp,132.0
NV-9992,Lê Văn Độ,Nam,132312312,0132312312,06/11/2005,do@gmail.com,Giám sát,Cao đẳng,123.0
